[ 2024-12-06 12:21:40,779 ] 16 root - INFO - Initiate the Data Ingestion
[ 2024-12-06 12:21:42,792 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-06 12:21:42,792 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-06 12:21:42,792 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-06 12:21:42,824 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-06 12:21:42,824 ] 18 root - INFO - Data Initiation Completed
[ 2024-12-06 12:21:42,828 ] 24 root - INFO - Initiated the Data Validation
[ 2024-12-06 12:21:42,840 ] 32 root - INFO - Required number of columns:2
[ 2024-12-06 12:21:42,840 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-06 12:21:42,840 ] 32 root - INFO - Required number of columns:2
[ 2024-12-06 12:21:42,840 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-06 12:21:42,931 ] 26 root - INFO - Data Validation Completed
[ 2024-12-06 12:21:42,931 ] 32 root - INFO - Initiated the Data Transformation
[ 2024-12-06 12:21:42,931 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-06 12:21:42,931 ] 67 root - INFO - Starting data transformation
[ 2024-12-06 12:21:42,941 ] 50 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2024-12-06 12:21:42,941 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-06 12:21:42,945 ] 46 root - INFO - Entered the data_object method of MaiUtils class
[ 2024-12-06 12:21:42,947 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-06 12:21:42,947 ] 34 root - INFO - Data Transformation Completed
